	title	link	source	salary_min	salary_max
140	Финансовый аналитик ( SQL)	https://spb.hh.ru/vacancy/51624209	hh.ru		
141	Системный аналитик	https://spb.hh.ru/vacancy/51725506	hh.ru		
142	Аналитик в отдел бронирования	https://spb.hh.ru/vacancy/51700748	hh.ru		
143	Аналитик	https://spb.hh.ru/vacancy/48058883	hh.ru	150000	
144	Аналитик данных	https://spb.hh.ru/vacancy/51803625	hh.ru		
145	Бизнес-аналитик (Процессы)	https://spb.hh.ru/vacancy/50470934	hh.ru	130000	
146	Аналитик отдела маркетинга	https://spb.hh.ru/vacancy/50665136	hh.ru		
147	Бизнес аналитик	https://spb.hh.ru/vacancy/51794533	hh.ru		
148	Аналитик Power BI	https://spb.hh.ru/vacancy/51602492	hh.ru		
149	Системный аналитик	https://spb.hh.ru/vacancy/51708015	hh.ru		
150	Аналитик BI	https://spb.hh.ru/vacancy/51701982	hh.ru		
151	Системный аналитик	https://spb.hh.ru/vacancy/50200865	hh.ru		
152	Бизнес-аналитик	https://spb.hh.ru/vacancy/51277668	hh.ru		
153	Бизнес-аналитик	https://spb.hh.ru/vacancy/51433600	hh.ru		
154	Аналитик	https://spb.hh.ru/vacancy/51653203	hh.ru		
155	Аналитик в разработку отчетности	https://spb.hh.ru/vacancy/51807366	hh.ru		
156	Специалист по поддержке продаж (Аналитик)	https://spb.hh.ru/vacancy/49880069	hh.ru	68000	
157	Аналитик складских бизнес-процессов / Логист	https://spb.hh.ru/vacancy/51723597	hh.ru		
158	Системный аналитик	https://spb.hh.ru/vacancy/51469237	hh.ru	180000	
159	Аналитик продаж на маркетплейсах / Товарный аналитик	https://spb.hh.ru/vacancy/49127211	hh.ru	110000	
160	Системный аналитик	https://spb.hh.ru/vacancy/46711933	hh.ru	180000	
161	Ведущий аналитик/Архитектор	https://spb.hh.ru/vacancy/51337156	hh.ru	230000	
162	Аналитик-маркетолог	https://spb.hh.ru/vacancy/50439720	hh.ru	70000	
163	Аналитик	https://spb.hh.ru/vacancy/51686793	hh.ru	70000	
164	Аналитик (Стажер стратегического консультанта)	https://spb.hh.ru/vacancy/50688085	hh.ru		
165	Аналитик- моделлер	https://spb.hh.ru/vacancy/50928832	hh.ru		137000
166	Джуниор аналитик	https://spb.hh.ru/vacancy/51773015	hh.ru		
167	Аналитик-маркетолог	https://spb.hh.ru/vacancy/51473274	hh.ru		
168	Бизнес-аналитик (удаленный формат работы)	https://spb.hh.ru/vacancy/51645649	hh.ru		
169	Аналитик	https://spb.hh.ru/vacancy/51775141	hh.ru		
170	Младший маркетолог-аналитик	https://spb.hh.ru/vacancy/51228033	hh.ru		
171	Аналитик данных middle	https://spb.hh.ru/vacancy/51619338	hh.ru		
172	Аналитик	https://spb.hh.ru/vacancy/50888227	hh.ru		
173	Аналитик	https://spb.hh.ru/vacancy/49015492	hh.ru		
174	Аналитик данных; Группа контент-аналитики	https://spb.hh.ru/vacancy/48816167	hh.ru		
175	Бизнес/системный аналитик (удаленная работа)	https://spb.hh.ru/vacancy/51642446	hh.ru		
176	Аналитик	https://spb.hh.ru/vacancy/49930989	hh.ru		
177	Маркетолог-аналитик	https://spb.hh.ru/vacancy/50679133	hh.ru		
178	Бизнес-аналитик	https://spb.hh.ru/vacancy/51433600	hh.ru		
179	Бизнес-аналитик (оптовое направление)	https://spb.hh.ru/vacancy/50714252	hh.ru	80500	
180	Системный аналитик (junior)	https://spb.hh.ru/vacancy/50766433	hh.ru	45000	
181	Аналитик Маркетплейсов	https://spb.hh.ru/vacancy/51644130	hh.ru		
182	Аналитик Data science (junior)	https://spb.hh.ru/vacancy/51653154	hh.ru		
183	Бизнес-аналитик	https://spb.hh.ru/vacancy/51002027	hh.ru	2500	
184	Аналитик внутренних бизнес-процессов	https://spb.hh.ru/vacancy/51714968	hh.ru		
185	Аналитик	https://spb.hh.ru/vacancy/50861872	hh.ru		100000
186	Аналитик данных	https://spb.hh.ru/vacancy/47403054	hh.ru		
187	Аналитик	https://spb.hh.ru/vacancy/51406903	hh.ru	40000	
188	Аналитик по недвижимости	https://spb.hh.ru/vacancy/51781969	hh.ru		
189	Младший аналитик	https://spb.hh.ru/vacancy/51477384	hh.ru		
190	Экономист-аналитик	https://spb.hh.ru/vacancy/51426982	hh.ru		
191	Аналитик (мобильная аналитика)	https://spb.hh.ru/vacancy/49227849	hh.ru		
192	Аналитик	https://spb.hh.ru/vacancy/51808598	hh.ru		
193	Business analyst / Бизнес-аналитик	https://spb.hh.ru/vacancy/44647528	hh.ru	180000	
194	Ведущий аналитик; Аналитик данных; Финансовый аналитик; Аналитик продаж; Analyst	https://spb.hh.ru/vacancy/51787275	hh.ru		
195	Аналитик блокчейн проектов	https://spb.hh.ru/vacancy/51489236	hh.ru		
196	Бизнес-аналитик	https://spb.hh.ru/vacancy/51204185	hh.ru	75000	
197	Маркетолог-аналитик	https://spb.hh.ru/vacancy/51793971	hh.ru		
198	Бизнес-аналитик (удаленный формат работы)	https://spb.hh.ru/vacancy/50615577	hh.ru		
199	Ведущий аналитик/Архитектор	https://spb.hh.ru/vacancy/51337156	hh.ru	230000	
200	Аналитик бизнес-процессов	https://spb.hh.ru/vacancy/49904655	hh.ru		
201	Lead Product Manager	https://spb.hh.ru/vacancy/50643936	hh.ru		
202	Аналитик-стажер	https://spb.hh.ru/vacancy/49512125	hh.ru		
203	Системный аналитик / IT аналитик	https://spb.hh.ru/vacancy/51799231	hh.ru		
204	Product/Data Analyst (Junior)	https://spb.hh.ru/vacancy/51710404	hh.ru		1000
205	Главный специалист по аналитике данных	https://spb.hh.ru/vacancy/50579012	hh.ru		
206	Стажер-аналитик	https://spb.hh.ru/vacancy/51063510	hh.ru		
207	Бизнес-аналитик (удаленный формат работы)	https://spb.hh.ru/vacancy/50615576	hh.ru		
208	Аналитик в разработку отчетности	https://spb.hh.ru/vacancy/51807366	hh.ru		
209	Аналитик со знанием SQL	https://spb.hh.ru/vacancy/47194105	hh.ru	60000	
210	Аналитик	https://spb.hh.ru/vacancy/51420280	hh.ru	50000	
211	Аналитик	https://spb.hh.ru/vacancy/51808598	hh.ru		
212	Аналитик 1С (удаленный)	https://spb.hh.ru/vacancy/51426807	hh.ru		
213	Бизнес-аналитик/Системный аналитик	https://spb.hh.ru/vacancy/51412385	hh.ru		
214	"Аналитик в команду продукта ""Единый клиент"" (страховое и банковское направление)"	https://spb.hh.ru/vacancy/49188819	hh.ru		
215	Бизнес-аналитик	https://spb.hh.ru/vacancy/51729310	hh.ru		70000
216	Специалист по работе с программными продуктами/ Аналитик SQL	https://spb.hh.ru/vacancy/50189648	hh.ru		85000
217	Аналитик данных	https://spb.hh.ru/vacancy/51703180	hh.ru		
218	Product/Data Analyst (Junior)	https://spb.hh.ru/vacancy/51710410	hh.ru		1000
219	Бизнес аналитик	https://spb.hh.ru/vacancy/51794533	hh.ru		
220	Аналитик трафика	https://spb.hh.ru/vacancy/51468050	hh.ru	60000	
221	Аналитик в образовательный проект/Data Analyst in EdTech	https://spb.hh.ru/vacancy/48584496	hh.ru	200000	
222	Системный аналитик	https://spb.hh.ru/vacancy/50870187	hh.ru	200000	
223	Бизнес-аналитик	https://spb.hh.ru/vacancy/51621962	hh.ru		
224	Младший аналитик	https://spb.hh.ru/vacancy/47337304	hh.ru		
225	Аналитик бизнес-процессов	https://spb.hh.ru/vacancy/51348997	hh.ru		
226	Бизнес-аналитик	https://spb.hh.ru/vacancy/51722766	hh.ru	120000	
227	Аналитик	https://spb.hh.ru/vacancy/49015493	hh.ru		
228	Аналитик (Anaplan; BI; QlikView)	https://spb.hh.ru/vacancy/51288949	hh.ru		
229	Бизнес-аналитик Anaplan	https://spb.hh.ru/vacancy/51769836	hh.ru		
230	Аналитик	https://spb.hh.ru/vacancy/50928124	hh.ru		
231	Аналитик SQL	https://spb.hh.ru/vacancy/51640708	hh.ru		
232	Помощник аналитика	https://spb.hh.ru/vacancy/50796196	hh.ru		
233	Товарный аналитик данных интернет-продаж	https://spb.hh.ru/vacancy/51183080	hh.ru	120000	
234	Бизнес-аналитик	https://spb.hh.ru/vacancy/51715028	hh.ru		
235	Бизнес аналитик/проектный менеджер	https://spb.hh.ru/vacancy/51624259	hh.ru		
236	Бизнес-аналитик	https://spb.hh.ru/vacancy/50266176	hh.ru		
237	Экономист-аналитик	https://spb.hh.ru/vacancy/51426455	hh.ru		
238	Финансовый аналитик по майнингу	https://spb.hh.ru/vacancy/51633414	hh.ru		
239	Аналитик	https://spb.hh.ru/vacancy/50574447	hh.ru		
240	Аналитик отдела промо	https://spb.hh.ru/vacancy/50732203	hh.ru		
241	Стажер аналитик-проектировщик (удаленно)	https://spb.hh.ru/vacancy/43021947	hh.ru		
242	Контент-менеджер (тестировщик) / Специалист по сбору информации с маркетплейсов (аналитика)	https://spb.hh.ru/vacancy/50926900	hh.ru	50000	
243	Бизнес-аналитик (удаленный формат работы)	https://spb.hh.ru/vacancy/51645649	hh.ru		
244	Аналитик	https://spb.hh.ru/vacancy/51001681	hh.ru		
245	Младший финансовый аналитик	https://spb.hh.ru/vacancy/51658112	hh.ru		
246	Маркетолог-аналитик	https://spb.hh.ru/vacancy/51642634	hh.ru	70000	
247	Помощник аналитика/тестировщик (стажер)	https://spb.hh.ru/vacancy/51224590	hh.ru		
248	Аналитик	https://spb.hh.ru/vacancy/51629215	hh.ru		
249	Аналітик	https://spb.hh.ru/vacancy/51343857	hh.ru		
250	Аналитик SQL (карты)	https://spb.hh.ru/vacancy/49294705	hh.ru		
251	Экономист-аналитик	https://spb.hh.ru/vacancy/51653055	hh.ru	90000	
252	Стажер аналитик-проектировщик (удаленно)	https://spb.hh.ru/vacancy/43021951	hh.ru		
253	Аналитик	https://spb.hh.ru/vacancy/51684804	hh.ru		
